@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
519,'2024/02/29 01:14:38:587',8,343.864136,145.209335,353.942291,137.047913,334.83606,136.981857,367.563232,145.530624,321.706177,146.93158,386.714508,200.315155,306.577087,202.415192,400.756866,271.704315,292.742676,273.047302,409.329193,340.151978,292.921082,338.824585,378.472473,326.830444,318.563629,325.965302,366.695587,431.025146,331.100403,430.634766,0,0,0,0,1,0,0,0,0,?
520,'2024/02/29 01:14:38:624',8,343.838013,145.11795,353.910828,137.016129,334.516022,136.995941,367.677643,145.551117,321.737823,147.015778,386.726196,200.45311,306.563995,202.408569,400.814392,271.86499,292.676636,272.83017,409.143829,339.547852,292.833221,338.647522,378.261047,326.768311,318.426056,325.963928,366.569458,429.769012,331.105804,430.275116,0,0,0,0,1,0,0,0,0,?
521,'2024/02/29 01:14:38:634',8,343.729492,145.216827,353.751587,137.164856,334.358582,136.988464,367.539642,145.5177,321.694946,147.019958,386.725433,200.442032,306.555115,202.393921,400.737915,271.881531,292.6492,272.656677,409.23526,339.640991,292.824188,338.739258,378.117249,326.372345,318.471558,325.655975,366.343719,429.088196,331.179962,430.507538,0,0,0,0,1,0,0,0,0,?
522,'2024/02/29 01:14:38:686',8,343.718567,145.13443,353.715668,137.166885,334.151917,137.013702,367.448273,145.291779,321.6763,146.785416,386.826904,200.334778,306.84787,202.387161,400.783417,271.814362,292.613586,272.791901,409.107727,339.625916,292.791321,338.678497,378.065308,326.355804,318.305847,325.605957,366.604248,429.200714,331.17276,430.300262,0,0,0,0,1,0,0,0,0,?
523,'2024/02/29 01:14:38:715',8,343.635315,144.96106,353.49939,137.116577,334.101532,136.958542,367.440002,145.270523,321.636932,146.913361,386.713928,200.286514,306.668976,202.369736,400.773773,271.684937,292.516205,272.56311,409.278442,339.289368,292.817383,338.630432,378.082581,326.202484,318.286255,325.315521,366.726349,428.878998,331.301544,429.982483,0,0,0,0,1,0,0,0,0,?
524,'2024/02/29 01:14:38:750',8,343.622406,144.991943,353.482666,137.120361,333.926727,136.97966,367.467773,145.237427,321.663055,146.882339,386.401093,200.271317,306.59549,202.412399,400.775696,271.658539,292.602478,272.787811,409.152222,339.568726,292.799835,338.595428,378.146637,326.360321,318.39444,325.67453,366.719513,429.234802,331.352295,429.879181,0,0,0,0,1,0,0,0,0,?
525,'2024/02/29 01:14:38:779',8,343.535187,145.010513,353.386169,137.134644,333.715576,136.872055,367.363647,145.171738,321.632355,146.750046,386.719818,200.127808,306.657288,202.423615,400.776245,271.647217,292.589661,272.823395,409.109863,339.575531,292.793701,338.726929,378.175385,326.444366,318.448151,325.852448,366.700195,430.698273,331.245575,430.137695,0,0,0,0,1,0,0,0,0,?
526,'2024/02/29 01:14:38:813',8,343.47467,144.952271,353.346222,137.113358,333.691162,136.871368,367.571869,145.055527,321.592529,146.787323,386.708954,200.031342,306.855499,202.435333,400.80365,271.818573,292.57724,272.903717,409.181244,339.382263,292.957886,339.07193,378.205811,326.507294,318.378632,325.936829,366.519226,433.672211,331.161743,430.95343,0,0,0,0,1,0,0,0,0,?
527,'2024/02/29 01:14:38:837',8,343.471405,144.924652,353.407104,136.954315,333.650482,136.828476,367.601166,144.992462,321.552277,146.680298,386.715118,200.09111,306.91037,202.367538,400.773071,271.845581,292.529907,272.879608,409.191254,339.360016,292.970612,339.122467,378.427277,326.693939,318.609314,326.025635,366.338501,433.978241,331.428345,431.071533,0,0,0,0,1,0,0,0,0,?
528,'2024/02/29 01:14:38:883',8,343.45282,144.939194,353.328827,137.114746,333.585754,136.836258,367.55896,145.126511,321.431885,146.516998,386.766541,200.068527,306.577271,202.491074,400.762024,271.60318,292.493774,272.954865,409.190552,339.189209,292.939606,338.903412,378.427063,326.631256,318.466858,325.944397,366.277435,433.998901,331.415863,431.026947,0,0,0,0,1,0,0,0,0,?
529,'2024/02/29 01:14:38:907',8,343.440186,145.096695,353.34436,137.127029,333.351685,136.857635,367.610443,145.116577,321.438568,146.569687,386.830109,200.045303,306.408813,202.684937,400.809204,271.735016,292.495972,272.913391,409.221802,339.1651,292.903931,338.914398,378.476074,326.793518,318.590576,326.209625,366.165894,433.885162,331.583069,431.638245,0,0,0,0,1,0,0,0,0,?
