@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute left_class {0,1,2,3,4,5,6,7,8,9,10}
@attribute right_class {0,1,2,3,4,5,6,7,8,9,10}
@attribute right_vel numeric

@data
21,'2024/02/25 11:51:37:181',1,521.138977,384.221741,502.02887,364.808868,491.008972,341.445984,485.385376,321.145416,494.320129,303.09198,519.377319,307.803802,517.401062,274.68924,516.865295,256.944336,520.608643,243.171066,541.99292,312.954651,507.229156,303.869324,503.184814,325.946716,508.307495,335.382538,552.885681,324.084198,519.897705,319.539093,513.9328,339.074829,519.623718,346.071838,567.043091,342.036316,537.593079,332.926697,526.638428,344.845886,530.205566,350.993164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
22,'2024/02/25 11:51:37:285',1,527.581299,379.697906,511.520721,359.484558,502.556458,335.809174,500.428467,316.918823,511.1698,300.304962,528.33252,304.761841,528.966125,272.492249,530.147705,255.158249,534.350403,241.776871,549.391724,311.758087,525.612305,302.536682,517.625671,319.081757,518.592102,331.589783,562.576965,322.894196,537.6604,317.15213,528.586731,334.423035,531.087402,344.661011,579.629761,341.721802,555.920898,330.915619,543.345276,340.761444,542.973206,347.932587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
23,'2024/02/25 11:51:37:390',1,536.374084,369.9534,522.110535,351.700165,515.440063,329.183838,512.295349,309.075867,524.427246,289.02182,540.307739,293.468689,542.68396,262.112396,544.889893,244.099442,550.642212,230.04335,561.848877,299.312561,538.542297,290.759216,531.356262,315.16333,534.203186,324.688354,575.250122,310.80545,551.436707,307.267334,541.421997,330.102509,546.256958,335.723541,592.659424,331.041382,570.688599,321.468262,555.966309,334.403809,557.465576,338.614777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
24,'2024/02/25 11:51:37:494',1,537.188904,366.592163,521.747803,345.223206,513.604065,320.603729,510.251038,298.916992,522.576599,279.754028,538.98645,284.378815,540.779602,252.243378,542.678772,233.304123,547.862915,218.453461,560.822754,290.308746,537.417053,283.271027,530.915466,307.443878,534.164368,317.302094,574.895996,301.414276,549.334351,298.681427,541.350098,323.004761,546.68158,328.552032,593.294128,322.472565,569.504944,313.369049,555.548279,327.408478,558.267334,333.246216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
25,'2024/02/25 11:51:37:600',1,539.742371,359.551788,520.953613,339.249817,509.99939,312.054413,505.402802,288.794586,517.978882,267.765228,536.87915,273.610138,537.878235,239.855469,538.189819,220.027939,542.203918,204.424469,561.038086,278.965881,533.017639,271.027679,526.890381,298.054871,530.579468,307.020447,577.197266,290.438782,546.893005,286.955627,538.144958,313.407288,543.700195,319.339294,594.835388,310.417267,567.42041,300.76886,552.959229,316.563446,557.302612,322.598816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
26,'2024/02/25 11:51:37:705',1,542.258606,346.201935,523.559509,325.554718,512.990234,298.089172,509.076233,275.220734,522.897949,253.160736,541.693115,259.575195,542.111267,224.696381,543.0495,205.14444,547.149902,188.834442,568.551147,266.634033,538.832336,256.856445,531.172363,283.059723,534.404663,293.736359,584.586914,278.69754,552.804565,273.501984,543.087219,298.954956,547.258484,306.605865,602.496826,298.147156,574.142395,287.473846,558.672852,302.740448,559.221313,311.896576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
27,'2024/02/25 11:51:37:809',1,547.274292,338.589844,529.624756,316.56897,520.179565,290.342438,517.051453,267.754059,529.401672,245.188034,548.032837,251.849304,549.175049,215.189575,549.806396,195.04126,556.032776,178.820511,575.729004,258.158844,545.035217,247.524719,537.801147,276.649506,542.921021,284.810272,592.86853,270.880524,558.940796,264.183685,550.4823,292.40567,557.55542,297.452393,612.691895,290.971893,581.520447,280.1651,566.454163,296.944519,570.414246,301.976013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
28,'2024/02/25 11:51:37:911',1,551.202393,337.471344,531.884705,314.66925,522.370667,287.089142,518.057251,264.412689,529.596008,240.668793,550.587952,245.475739,550.36676,208.31131,551.12677,186.923508,556.953003,170.011932,576.883423,250.793289,547.000122,241.697067,539.384033,273.329437,545.78418,280.06955,594.998291,263.217773,561.710571,258.551758,552.652893,288.775116,560.424744,292.262115,616.626709,286.856659,585.619873,275.594574,569.648315,293.309998,573.991699,298.243317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
29,'2024/02/25 11:51:38:019',1,555.005493,333.403687,534.407288,309.217865,524.934753,281.441956,520.590881,258.236237,532.508484,233.4664,554.408203,237.929413,554.786499,200.173935,555.526123,177.648239,561.985962,159.065231,582.315918,243.641312,549.767517,234.174896,542.268188,267.454071,548.79834,274.441132,598.380249,258.38559,565.943848,254.635391,556.040222,283.142151,562.853638,287.487122,616.512512,280.154358,589.365601,270.776337,573.416504,288.423828,576.738403,293.522949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
30,'2024/02/25 11:51:38:121',1,562.611145,331.204681,541.453247,308.068787,531.3573,278.154785,530.387573,251.992889,550.947632,233.570251,565.885498,236.738174,567.799927,197.216492,570.415283,174.009186,577.331848,156.225677,593.133179,245.544266,562.335388,232.667145,553.201111,259.736572,557.741333,270.898773,612.71051,260.131744,578.740173,252.234283,567.927734,278.68927,574.49939,286.47226,627.996704,284.169647,606.458984,267.597931,588.062988,283.388855,588.315369,292.487915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?,?
